EventID,PID,Layer,r[cm],phi,z[cm],E[GeV],px[GeV],py[GeV],pz[GeV]
15,1,2,3.1,-2.1048345,-5.36,706.24,-122.59,-234.28,-422.91
15,1,1,3.1,2.0419314,-3.7600000000000002,558.4,-60.39,191.01,-147.24
15,2,1,5.05,2.9722771979999996,-15.120000000000001,558.4,-60.39,191.01,-147.24
15,2,2,5.05,-2.174257404,-9.64,706.24,-122.59,-234.28,-422.91
15,3,2,8.85,2.951413728,-26.36,706.24,-122.59,-234.28,-422.91
15,3,1,8.85,-2.662713036,-24.92,558.4,-60.39,191.01,-147.24
15,4,2,12.25,-2.9848960190000002,-37.52,706.24,-122.59,-234.28,-422.91
15,4,1,12.25,-2.615508504,-33.72,558.4,-60.39,191.01,-147.24
15,5,1,29.9,-3.005067024,-91.72,558.4,-60.39,191.01,-147.24
15,5,2,29.9,-2.7986797439999997,-88.4,706.24,-122.59,-234.28,-422.91
15,6,2,37.1,-2.9694553684000002,-113.44,706.24,-122.59,-234.28,-422.91
15,6,1,37.1,-2.8127437864,-110.12,558.4,-60.39,191.01,-147.24
15,7,1,44.3,-2.9436464875999997,-135.04,558.4,-60.39,191.01,-147.24
15,7,2,44.3,-2.8281386405999998,-132.04,706.24,-122.59,-234.28,-422.91
15,8,2,51.4,-2.9265815397,-156.28,706.24,-122.59,-234.28,-422.91
15,8,1,51.4,-2.8470056159999997,-153.92000000000002,558.4,-60.39,191.01,-147.24
17,1,2,3.1,-1.7209643000000001,-14.76,707.44,1.82,-24.81,-499.85
17,1,1,3.1,-1.7822545,-1.68,539.28,-42.33,-193.16,-41.41
17,2,2,5.05,-1.741584141,-16.88,707.44,1.82,-24.81,-499.85
17,2,1,5.05,-1.7762376059999998,-4.72,539.28,-42.33,-193.16,-41.41
17,3,1,8.85,-1.7423736479999998,-28.96,539.28,-42.33,-193.16,-41.41
17,3,2,8.85,-1.75988778,-18.400000000000002,707.44,1.82,-24.81,-499.85
17,4,1,12.25,-1.748978455,-34.68,539.28,-42.33,-193.16,-41.41
17,4,2,12.25,-1.763672323,-22.28,707.44,1.82,-24.81,-499.85
17,5,2,29.9,-1.7520744959999999,-78.04,707.44,1.82,-24.81,-499.85
17,5,1,29.9,-1.7551447199999999,-71.76,539.28,-42.33,-193.16,-41.41
17,6,1,37.1,-1.7526953250000001,-95.04,539.28,-42.33,-193.16,-41.41
17,6,2,37.1,-1.7549864300000002,-89.56,707.44,1.82,-24.81,-499.85
17,7,2,44.3,-1.7531865441999999,-112.08,707.44,1.82,-24.81,-499.85
17,7,1,44.3,-1.7548750309999999,-107.32000000000001,539.28,-42.33,-193.16,-41.41
17,8,1,51.4,-1.7537792727,-128.04,539.28,-42.33,-193.16,-41.41
17,8,2,51.4,-1.7547053433,-125.04,707.44,1.82,-24.81,-499.85
31,1,1,3.1,1.8032222,-7.24,692.06,-2.36,210.11,-429.88
31,1,2,3.1,-2.8145105,-2.52,751.33,-418.1,-149.97,-342.33
31,2,1,5.05,2.065346514,-12.72,692.06,-2.36,210.11,-429.88
31,2,2,5.05,-2.829702942,-4.28,751.33,-418.1,-149.97,-342.33
31,3,1,8.85,2.5824870119999996,-21.12,692.06,-2.36,210.11,-429.88
31,3,2,8.85,-2.868362844,-8.32,751.33,-418.1,-149.97,-342.33
31,4,1,12.25,2.831834894,-25.64,692.06,-2.36,210.11,-429.88
31,4,2,12.25,-2.931018503,-13.32,751.33,-418.1,-149.97,-342.33
31,5,2,29.9,2.955716016,-56.64,751.33,-418.1,-149.97,-342.33
31,5,1,29.9,3.133447872,-46.76,692.06,-2.36,210.11,-429.88
31,6,1,37.1,2.886334079,-74.52,692.06,-2.36,210.11,-429.88
31,6,2,37.1,3.0596332612,-63.32,751.33,-418.1,-149.97,-342.33
31,7,1,44.3,2.9515516757999998,-84.24,692.06,-2.36,210.11,-429.88
31,7,2,44.3,3.0943055597999995,-72.68,751.33,-418.1,-149.97,-342.33
31,8,2,51.4,2.9234064405,-100.16,751.33,-418.1,-149.97,-342.33
31,8,1,51.4,3.026927904,-90.92,692.06,-2.36,210.11,-429.88
41,1,2,3.1,2.6306399,-26.88,910.49,-23.04,121.95,-750.72
41,1,1,3.1,-2.483866,-8.72,603.75,-121.55,-123.54,-290.65
41,2,1,5.05,2.91089106,-41.2,603.75,-121.55,-123.54,-290.65
41,2,2,5.05,-3.0376237319999997,-33.92,910.49,-23.04,121.95,-750.72
41,3,1,8.85,3.130509852,-64.64,603.75,-121.55,-123.54,-290.65
41,3,2,8.85,-3.02542506,-58.88,910.49,-23.04,121.95,-750.72
41,4,2,12.25,3.055508218,-93.60000000000001,910.49,-23.04,121.95,-750.72
41,4,1,12.25,-2.969793988,-77.52,603.75,-121.55,-123.54,-290.65
41,5,2,29.9,3.108772368,-221.52,910.49,-23.04,121.95,-750.72
41,5,1,29.9,-3.066698928,-205.56,603.75,-121.55,-123.54,-290.65
41,6,2,37.1,3.1017895932000004,-276.04,910.49,-23.04,121.95,-750.72
41,6,1,37.1,-3.1012397280000004,-261.72,603.75,-121.55,-123.54,-290.65
41,7,1,44.3,-3.1390504599999995,-320.88,603.75,-121.55,-123.54,-290.65
41,7,2,44.3,-3.1026712443999998,-312.84000000000003,910.49,-23.04,121.95,-750.72
41,8,1,51.4,3.1197334077,-378.24,603.75,-121.55,-123.54,-290.65
41,8,2,51.4,-3.0971108258999998,-361.52,910.49,-23.04,121.95,-750.72
66,1,2,3.1,-0.0338709,-19.84,1371.01,195.14,-15.41,-1261.49
66,1,1,3.1,0.8661273,-9.6,565.95,59.21,104.85,-236.22
66,2,2,5.05,0.006930693,-32.04,1371.01,195.14,-15.41,-1261.49
66,2,1,5.05,0.7188118739999999,-19.72,565.95,59.21,104.85,-236.22
66,3,2,8.85,0.149152608,-53.88,1371.01,195.14,-15.41,-1261.49
66,3,1,8.85,0.46836178799999995,-44.88,565.95,59.21,104.85,-236.22
66,4,1,12.25,0.319591629,-68.8,565.95,59.21,104.85,-236.22
66,4,2,12.25,0.372652819,-66.56,1371.01,195.14,-15.41,-1261.49
66,5,2,29.9,0.275865312,-172.04,1371.01,195.14,-15.41,-1261.49
66,5,1,29.9,0.396741168,-159.84,565.95,59.21,104.85,-236.22
66,6,1,37.1,0.3177304414,-208.6,565.95,59.21,104.85,-236.22
66,6,2,37.1,0.37125065420000003,-201.8,1371.01,195.14,-15.41,-1261.49
66,7,1,44.3,0.30223913719999995,-251.32,565.95,59.21,104.85,-236.22
66,7,2,44.3,0.36248741619999997,-242.36,1371.01,195.14,-15.41,-1261.49
66,8,2,51.4,0.308249214,-290.6,1371.01,195.14,-15.41,-1261.49
66,8,1,51.4,0.37426481819999996,-279.04,565.95,59.21,104.85,-236.22
94,1,2,3.1,-1.3693521,-89.16,1049.32,124.71,83.2,-910.27
94,1,1,3.1,-0.193548,-86.64,1612.11,-76.66,-136.09,-1524.63
94,2,1,5.05,-1.174257414,-160.48,1612.11,-76.66,-136.09,-1524.63
94,2,2,5.05,-0.420792075,-159.68,1049.32,124.71,83.2,-910.27
94,3,2,8.85,-0.61581948,-296.44,1049.32,124.71,83.2,-910.27
94,3,1,8.85,-0.9994354679999999,-295.96,1612.11,-76.66,-136.09,-1524.63
94,4,1,12.25,-0.8342851720000001,-417.44,1612.11,-76.66,-136.09,-1524.63
94,4,2,12.25,-0.8314280310000001,-417.44,1049.32,124.71,83.2,-910.27
94,5,2,29.9,-0.781315152,-1019.08,1049.32,124.71,83.2,-910.27
94,5,1,29.9,-0.903555552,-1014.2,1612.11,-76.66,-136.09,-1524.63
94,6,2,37.1,-0.780350363,-1264.4,1049.32,124.71,83.2,-910.27
94,6,1,37.1,-0.8720862072000001,-1261.8,1612.11,-76.66,-136.09,-1524.63
94,7,1,44.3,-0.8181486039999999,-1510.0,1612.11,-76.66,-136.09,-1524.63
94,7,2,44.3,-0.8612050173999999,-1507.68,1049.32,124.71,83.2,-910.27
94,8,1,51.4,-0.7911288839999999,-1752.08,1612.11,-76.66,-136.09,-1524.63
94,8,2,51.4,-0.8695141455,-1748.44,1049.32,124.71,83.2,-910.27
103,1,2,3.1,-1.6693515,-9.72,520.66,-91.35,-47.25,102.53
103,1,1,3.1,-1.7387062,-9.0,625.75,78.64,-40.0,-365.76
103,2,2,5.05,-1.451485134,-19.0,520.66,-91.35,-47.25,102.53
103,2,1,5.05,-2.0217821579999997,-9.24,625.75,78.64,-40.0,-365.76
103,3,1,8.85,-1.6706222039999998,-27.72,625.75,78.64,-40.0,-365.76
103,3,2,8.85,-1.803390624,-23.72,520.66,-91.35,-47.25,102.53
103,4,1,12.25,-1.6975499170000001,-37.28,625.75,78.64,-40.0,-365.76
103,4,2,12.25,-1.724080512,-36.2,520.66,-91.35,-47.25,102.53
103,5,2,29.9,-1.703519472,-90.48,520.66,-91.35,-47.25,102.53
103,5,1,29.9,-1.73751936,-87.0,625.75,78.64,-40.0,-365.76
103,6,1,37.1,-1.6781885904,-115.36,625.75,78.64,-40.0,-365.76
103,6,2,37.1,-1.744905568,-107.0,520.66,-91.35,-47.25,102.53
103,7,1,44.3,-1.6979269761999998,-134.84,625.75,78.64,-40.0,-365.76
103,7,2,44.3,-1.7419811317999998,-128.24,520.66,-91.35,-47.25,102.53
103,8,2,51.4,-1.6948414937999998,-157.0,520.66,-91.35,-47.25,102.53
103,8,1,51.4,-1.7285769227999999,-151.16,625.75,78.64,-40.0,-365.76
114,1,2,3.1,-0.854837,17.2,1500.77,172.28,-219.66,1387.22
114,1,1,3.1,0.6016117,36.24,1134.01,43.97,152.58,1005.36
114,2,2,5.05,-0.7881188039999999,31.68,1500.77,172.28,-219.66,1387.22
114,2,1,5.05,-0.063366336,59.64,1134.01,43.97,152.58,1005.36
114,3,1,8.85,-0.44632787999999995,84.12,1134.01,43.97,152.58,1005.36
114,3,2,8.85,-0.019209048,105.92,1500.77,172.28,-219.66,1387.22
114,4,1,12.25,-0.503264979,110.64,1134.01,43.97,152.58,1005.36
114,4,2,12.25,-0.231020258,134.68,1500.77,172.28,-219.66,1387.22
114,5,2,29.9,-0.358875072,304.0,1500.77,172.28,-219.66,1387.22
114,5,1,29.9,-0.227424,329.48,1134.01,43.97,152.58,1005.36
114,6,1,37.1,-0.3534716794,378.68,1134.01,43.97,152.58,1005.36
114,6,2,37.1,-0.24698111900000003,404.56,1500.77,172.28,-219.66,1387.22
114,7,2,44.3,-0.34890277239999995,453.56,1500.77,172.28,-219.66,1387.22
114,7,1,44.3,-0.26133170699999997,479.24,1134.01,43.97,152.58,1005.36
114,8,1,51.4,-0.344630559,527.8,1134.01,43.97,152.58,1005.36
114,8,2,51.4,-0.2713386858,552.84,1500.77,172.28,-219.66,1387.22
148,1,2,3.1,-1.9112865,7.08,1023.59,-107.22,-352.99,813.41
148,1,1,3.1,-2.7032204,8.92,789.56,-205.12,-45.82,573.78
148,2,2,5.05,-1.9475247329999998,11.88,1023.59,-107.22,-352.99,813.41
148,2,1,5.05,-2.572277202,14.68,789.56,-205.12,-45.82,573.78
148,3,2,8.85,-2.055368136,22.32,1023.59,-107.22,-352.99,813.41
148,3,1,8.85,-2.3677976519999997,25.16,789.56,-205.12,-45.82,573.78
148,4,2,12.25,-2.224896513,33.44,1023.59,-107.22,-352.99,813.41
148,4,1,12.25,-2.240406707,33.6,789.56,-205.12,-45.82,573.78
148,5,2,29.9,-2.186226912,80.36,1023.59,-107.22,-352.99,813.41
148,5,1,29.9,-2.290614528,83.36,789.56,-205.12,-45.82,573.78
148,6,2,37.1,-2.2344688844,101.56,1023.59,-107.22,-352.99,813.41
148,6,1,37.1,-2.2354769706,101.60000000000001,789.56,-205.12,-45.82,573.78
148,7,1,44.3,-2.1980260665999998,119.64,789.56,-205.12,-45.82,573.78
148,7,2,44.3,-2.2684052664,122.68,1023.59,-107.22,-352.99,813.41
148,8,2,51.4,-2.2217095173,140.08,1023.59,-107.22,-352.99,813.41
148,8,1,51.4,-2.2571647916999997,141.8,789.56,-205.12,-45.82,573.78
166,1,2,3.1,0.6419342,-17.16,1111.94,191.33,120.73,-967.07
166,1,1,3.1,3.1370905000000002,-15.8,1016.47,-224.52,-17.16,-855.86
166,2,1,5.05,1.3376237489999998,-72.64,1016.47,-224.52,-17.16,-855.86
166,2,2,5.05,2.4366336389999996,-71.68,1111.94,191.33,120.73,-967.07
166,3,2,8.85,1.49435094,-137.68,1111.94,191.33,120.73,-967.07
166,3,1,8.85,2.2740123,-136.72,1016.47,-224.52,-17.16,-855.86
166,4,1,12.25,1.596733656,-197.36,1016.47,-224.52,-17.16,-855.86
166,4,2,12.25,2.1697945080000003,-196.52,1111.94,191.33,120.73,-967.07
166,5,2,29.9,1.76083032,-497.84000000000003,1111.94,191.33,120.73,-967.07
166,5,1,29.9,1.999511808,-497.32,1016.47,-224.52,-17.16,-855.86
166,6,2,37.1,1.7918273984000002,-619.64,1111.94,191.33,120.73,-967.07
166,6,1,37.1,1.967142753,-619.24,1016.47,-224.52,-17.16,-855.86
166,7,2,44.3,1.8219540066,-741.44,1111.94,191.33,120.73,-967.07
166,7,1,44.3,1.9368478584,-741.16,1016.47,-224.52,-17.16,-855.86
166,8,2,51.4,1.8442695998999998,-861.08,1111.94,191.33,120.73,-967.07
166,8,1,51.4,1.9152462966,-860.88,1016.47,-224.52,-17.16,-855.86
179,1,1,3.1,-1.7193514,-1.6400000000000001,511.88,-15.49,-42.13,-100.01
179,1,2,3.1,-1.6451580000000001,0.28,620.29,-26.22,-363.69,42.45
179,2,1,5.05,-1.6980197849999998,-1.76,511.88,-15.49,-42.13,-100.01
179,2,2,5.05,-1.6485148349999998,0.32,620.29,-26.22,-363.69,42.45
179,3,1,8.85,-1.6779668399999998,-1.6,511.88,-15.49,-42.13,-100.01
179,3,2,8.85,-1.659322764,-0.24,620.29,-26.22,-363.69,42.45
179,4,2,12.25,-1.684488701,-2.88,620.29,-26.22,-363.69,42.45
179,4,1,12.25,-1.6685703440000001,-1.24,511.88,-15.49,-42.13,-100.01
179,5,1,29.9,-1.674068064,-4.4,511.88,-15.49,-42.13,-100.01
179,5,2,29.9,-1.669974432,-3.4,620.29,-26.22,-363.69,42.45
179,6,2,37.1,-1.6760807738,-6.08,620.29,-26.22,-363.69,42.45
179,6,1,37.1,-1.6692991030000002,-4.04,511.88,-15.49,-42.13,-100.01
179,7,1,44.3,-1.676590643,-7.44,511.88,-15.49,-42.13,-100.01
179,7,2,44.3,-1.6710646861999998,-5.48,620.29,-26.22,-363.69,42.45
179,8,2,51.4,-1.6740710531999998,-7.6000000000000005,620.29,-26.22,-363.69,42.45
179,8,1,51.4,-1.6730788346999999,-7.2,511.88,-15.49,-42.13,-100.01
184,1,2,3.1,0.30322520000000003,0.72,696.5,453.69,135.99,103.86
184,1,1,3.1,2.7467687,1.08,649.65,-366.11,143.82,131.61
184,2,2,5.05,0.31188118499999995,1.2,696.5,453.69,135.99,103.86
184,2,1,5.05,2.728712844,1.84,649.65,-366.11,143.82,131.61
184,3,2,8.85,0.33559336799999995,2.2800000000000002,696.5,453.69,135.99,103.86
184,3,1,8.85,2.6683627559999996,3.64,649.65,-366.11,143.82,131.61
184,4,2,12.25,0.37306098200000004,3.48,696.5,453.69,135.99,103.86
184,4,1,12.25,1.6628560620000001,10.4,649.65,-366.11,143.82,131.61
184,5,2,29.9,1.24002936,23.76,696.5,453.69,135.99,103.86
184,5,1,29.9,1.389674352,24.84,649.65,-366.11,143.82,131.61
184,6,2,37.1,1.030539029,26.52,696.5,453.69,135.99,103.86
184,6,1,37.1,1.5445713468000002,31.48,649.65,-366.11,143.82,131.61
184,7,1,44.3,1.259457654,35.480000000000004,649.65,-366.11,143.82,131.61
184,7,2,44.3,1.3176336992,36.160000000000004,696.5,453.69,135.99,103.86
184,8,1,51.4,1.0993780979999999,38.32,649.65,-366.11,143.82,131.61
184,8,2,51.4,1.4668958304,43.28,696.5,453.69,135.99,103.86
186,1,1,3.1,-0.661289,76.0,501.46,17.11,-7.3,33.46
186,1,2,3.1,-0.7064502,87.96000000000001,974.44,8.52,-13.51,836.23
186,2,2,5.05,-0.658415835,122.76,974.44,8.52,-13.51,836.23
186,2,1,5.05,-0.7049504879999999,143.0,501.46,17.11,-7.3,33.46
186,3,1,8.85,-0.673446624,226.56,501.46,17.11,-7.3,33.46
186,3,2,8.85,-0.6915257279999999,240.4,974.44,8.52,-13.51,836.23
186,4,1,12.25,-0.673060787,312.96,501.46,17.11,-7.3,33.46
186,4,2,12.25,-0.690611796,331.96,974.44,8.52,-13.51,836.23
186,5,2,29.9,-0.68056632,783.6800000000001,974.44,8.52,-13.51,836.23
186,5,1,29.9,-0.683636544,792.16,501.46,17.11,-7.3,33.46
186,6,1,37.1,-0.6798166756,969.9200000000001,501.46,17.11,-7.3,33.46
186,6,2,37.1,-0.6843072414000001,985.36,974.44,8.52,-13.51,836.23
186,7,2,44.3,-0.6796926863999999,1157.3600000000001,974.44,8.52,-13.51,836.23
186,7,1,44.3,-0.6842976503999999,1176.8,501.46,17.11,-7.3,33.46
186,8,1,51.4,-0.6800004119999999,1344.2,501.46,17.11,-7.3,33.46
186,8,2,51.4,-0.6839031380999999,1363.64,974.44,8.52,-13.51,836.23
194,1,2,3.1,-2.0903184,-13.08,1003.7,-111.1,-168.0,-846.67
194,1,1,3.1,-0.3403219,1.92,659.2,338.45,-116.02,237.78
194,2,2,5.05,-2.025742554,-21.32,1003.7,-111.1,-168.0,-846.67
194,2,1,5.05,-0.348514848,3.0,659.2,338.45,-116.02,237.78
194,3,2,8.85,-1.762147668,-35.76,1003.7,-111.1,-168.0,-846.67
194,3,1,8.85,-0.368926716,4.44,659.2,338.45,-116.02,237.78
194,4,2,12.25,-1.389795015,-40.56,1003.7,-111.1,-168.0,-846.67
194,4,1,12.25,-0.397958925,4.68,659.2,338.45,-116.02,237.78
194,5,1,29.9,-1.121314032,-74.72,659.2,338.45,-116.02,237.78
194,5,2,29.9,-0.739241712,-31.32,1003.7,-111.1,-168.0,-846.67
194,6,1,37.1,-0.9920484650000001,-75.64,659.2,338.45,-116.02,237.78
194,6,2,37.1,-0.7118005014000001,-34.68,1003.7,-111.1,-168.0,-846.67
194,7,2,44.3,-0.9675796858,-86.28,1003.7,-111.1,-168.0,-846.67
194,7,1,44.3,-0.8760944009999999,-70.76,659.2,338.45,-116.02,237.78
194,8,2,51.4,-1.0260200768999999,-111.24000000000001,1003.7,-111.1,-168.0,-846.67
194,8,1,51.4,-0.8029693580999999,-67.16,659.2,338.45,-116.02,237.78
205,1,2,3.1,-2.5451562,-1.6,634.38,-282.84,-203.35,-176.31
205,1,1,3.1,1.3129006,0.28,623.63,102.34,356.14,40.07
205,2,2,5.05,-2.569306905,-2.68,634.38,-282.84,-203.35,-176.31
205,2,1,5.05,1.3306930559999999,0.4,623.63,102.34,356.14,40.07
205,3,2,8.85,-2.6785322519999997,-5.08,634.38,-282.84,-203.35,-176.31
205,3,1,8.85,1.4005655879999999,0.28,623.63,102.34,356.14,40.07
205,4,1,12.25,2.716732928,-8.040000000000001,623.63,102.34,356.14,40.07
205,4,2,12.25,2.235916914,-6.0,634.38,-282.84,-203.35,-176.31
205,5,2,29.9,2.64039264,-19.12,634.38,-282.84,-203.35,-176.31
205,5,1,29.9,2.159163456,-13.44,623.63,102.34,356.14,40.07
205,6,1,37.1,2.6619890774000003,-23.92,623.63,102.34,356.14,40.07
205,6,2,37.1,2.2488570238000003,-18.36,634.38,-282.84,-203.35,-176.31
205,7,2,44.3,2.5147708403999998,-26.72,634.38,-282.84,-203.35,-176.31
205,7,1,44.3,2.3900530653999996,-24.68,623.63,102.34,356.14,40.07
205,8,2,51.4,2.5491416223,-31.560000000000002,634.38,-282.84,-203.35,-176.31
205,8,1,51.4,2.2851453534,-26.28,623.63,102.34,356.14,40.07
229,1,2,3.1,-1.3403199000000001,50.2,513.79,-71.94,-81.25,46.97
229,1,1,3.1,-0.4129024,57.2,795.39,93.82,55.47,608.91
229,2,2,5.05,-0.9178217729999999,97.24000000000001,513.79,-71.94,-81.25,46.97
229,2,1,5.05,-0.8227722689999999,98.36,795.39,93.82,55.47,608.91
229,3,1,8.85,-0.931638828,169.96,795.39,93.82,55.47,608.91
229,3,2,8.85,-0.809604876,172.56,513.79,-71.94,-81.25,46.97
229,4,1,12.25,-0.988570786,232.36,795.39,93.82,55.47,608.91
229,4,2,12.25,-0.724897488,239.28,513.79,-71.94,-81.25,46.97
229,5,2,29.9,-0.917428416,575.6800000000001,513.79,-71.94,-81.25,46.97
229,5,1,29.9,-0.820659504,582.6,795.39,93.82,55.47,608.91
229,6,2,37.1,-0.9003126208000001,716.32,513.79,-71.94,-81.25,46.97
229,6,1,37.1,-0.8369864786000001,721.92,795.39,93.82,55.47,608.91
229,7,2,44.3,-0.8932095172,856.24,513.79,-71.94,-81.25,46.97
229,7,1,44.3,-0.8436294047999999,861.52,795.39,93.82,55.47,608.91
229,8,2,51.4,-0.8776503372,995.64,513.79,-71.94,-81.25,46.97
229,8,1,51.4,-0.8578721150999999,998.08,795.39,93.82,55.47,608.91
267,1,1,3.1,1.0677398,-4.44,613.41,83.47,169.25,-301.11
267,1,2,3.1,0.7306437,-0.44,513.37,77.32,38.12,78.24
267,2,1,5.05,1.0198019699999998,-6.36,613.41,83.47,169.25,-301.11
267,2,2,5.05,0.8287128629999999,-2.68,513.37,77.32,38.12,78.24
267,3,2,8.85,0.9395484359999999,-8.48,513.37,77.32,38.12,78.24
267,3,1,8.85,0.863277216,-5.88,613.41,83.47,169.25,-301.11
267,4,2,12.25,0.956325909,-12.52,513.37,77.32,38.12,78.24
267,4,1,12.25,0.8746933090000001,-8.68,613.41,83.47,169.25,-301.11
267,5,2,29.9,0.912425088,-25.52,513.37,77.32,38.12,78.24
267,5,1,29.9,0.910719408,-25.32,613.41,83.47,169.25,-301.11
267,6,1,37.1,0.9154339138,-32.12,613.41,83.47,169.25,-301.11
267,6,2,37.1,0.9092937524000001,-31.240000000000002,513.37,77.32,38.12,78.24
267,7,2,44.3,0.9170018311999999,-38.6,513.37,77.32,38.12,78.24
267,7,1,44.3,0.9084058984,-37.12,613.41,83.47,169.25,-301.11
267,8,1,51.4,0.9182651478,-45.08,613.41,83.47,169.25,-301.11
267,8,2,51.4,0.9074168922,-42.88,513.37,77.32,38.12,78.24
270,1,2,3.1,2.4580596,-18.8,1123.77,-146.89,107.19,-989.85
270,1,1,3.1,-0.0145161,-7.4,565.07,162.96,-16.61,-206.09
270,2,1,5.05,1.7257425569999998,-61.64,565.07,162.96,-16.61,-206.09
270,2,2,5.05,0.8425742489999999,-56.68,1123.77,-146.89,107.19,-989.85
270,3,2,8.85,1.580791656,-112.60000000000001,1123.77,-146.89,107.19,-989.85
270,3,1,8.85,1.049717976,-109.12,565.07,162.96,-16.61,-206.09
270,4,1,12.25,1.467754148,-158.6,565.07,162.96,-16.61,-206.09
270,4,2,12.25,1.21224411,-157.28,1123.77,-146.89,107.19,-989.85
270,5,2,29.9,1.297567632,-387.72,1123.77,-146.89,107.19,-989.85
270,5,1,29.9,1.5143027039999999,-384.92,565.07,162.96,-16.61,-206.09
270,6,2,37.1,1.2972236510000001,-481.08,1123.77,-146.89,107.19,-989.85
270,6,1,37.1,1.4735470918,-480.0,565.07,162.96,-16.61,-206.09
270,7,2,44.3,1.3115704966,-575.0,1123.77,-146.89,107.19,-989.85
270,7,1,44.3,1.4415072307999999,-574.6800000000001,565.07,162.96,-16.61,-206.09
270,8,2,51.4,1.3439930322,-668.12,1123.77,-146.89,107.19,-989.85
270,8,1,51.4,1.4121915171,-667.84,565.07,162.96,-16.61,-206.09
273,1,1,3.1,2.6161238,58.72,1334.18,-76.11,59.11,1233.19
273,1,2,3.1,2.6499947,63.2,1106.13,-21.49,-5.49,986.42
273,2,1,5.05,2.624752449,97.48,1334.18,-76.11,59.11,1233.19
273,2,2,5.05,2.651485122,103.36,1106.13,-21.49,-5.49,986.42
273,3,1,8.85,2.638984212,176.28,1334.18,-76.11,59.11,1233.19
273,3,2,8.85,2.640679128,176.92000000000002,1106.13,-21.49,-5.49,986.42
273,4,2,12.25,2.637549306,243.28,1106.13,-21.49,-5.49,986.42
273,4,1,12.25,2.6436717510000003,246.6,1334.18,-76.11,59.11,1233.19
273,5,2,29.9,2.63754984,593.72,1106.13,-21.49,-5.49,986.42
273,5,1,29.9,2.641643472,599.16,1334.18,-76.11,59.11,1233.19
273,6,2,37.1,2.6385281622,738.4,1106.13,-21.49,-5.49,986.42
